sex,sex_binomial,treatment,fish,replicate,c_mass_per,n_mass_per,o_mass_per,na_mass_per,p_mass_per,s_mass_per,ca_mass_per
M,0,C,1,d,50.55,17.61,30.1,0.48,0.59,0.67,0.01
M,0,C,1,e,50.7,17.39,30.12,0.49,0.58,0.7,0.02
M,0,C,1,f,50.23,18.13,30.2,0.35,0.48,0.6,0.01
M,0,C,2,e,49.45,17.71,30.84,0.51,0.58,0.89,0.02
M,0,C,2,f,49.77,17.35,30.96,0.49,0.57,0.84,0.01
M,0,C,2,g,49.16,18.18,30.77,0.52,0.53,0.83,0.02
M,0,C,3,d,46.97,19.41,32.6,0.25,0.35,0.39,0.02
M,0,C,3,e,46.04,19.7,33.52,0.18,0.25,0.28,0.04
M,0,C,3,f,45.19,19.65,34.2,0.21,0.26,0.31,0.17
M,0,C,4,b,49.06,18.15,30.92,0.55,0.6,0.7,0.02
M,0,C,4,c,49.01,17.51,31.43,0.56,0.68,0.78,0.03
M,0,C,4,d,49.5,17.26,31.2,0.59,0.63,0.8,0.02
M,0,C,5,a,49.95,17.19,30.91,0.52,0.62,0.79,0.03
M,0,C,5,b,48.81,19.12,30.49,0.41,0.52,0.64,0.01
M,0,C,5,c,48.41,17.18,32.41,0.5,0.72,0.77,0.01
M,0,T,6,d,47.79,19.18,31.88,0.33,0.36,0.45,0.02
M,0,T,6,e,47.2,20.17,31.44,0.33,0.38,0.45,0.02
M,0,T,6,f,47.89,19.75,31.17,0.34,0.38,0.44,0.03
M,0,T,7,a,49.84,17.57,30.68,0.47,0.59,0.82,0.02
M,0,T,7,b,49.15,17.96,30.83,0.54,0.65,0.82,0.03
M,0,T,7,c,50.44,17.67,29.64,0.62,0.72,0.9,0.01
M,0,T,8,a,48.68,18.12,31.3,0.55,0.62,0.73,0
M,0,T,8,b,47.55,19.35,31.66,0.42,0.47,0.54,0.02
M,0,T,8,c,48.28,18.84,31.31,0.42,0.5,0.61,0.03
M,0,T,9,a,49.86,17.19,31.35,0.33,0.57,0.67,0.04
M,0,T,9,b,50.31,16.93,31.12,0.32,0.6,0.68,0.03
M,0,T,9,c,50.21,16.96,31.22,0.36,0.55,0.7,0
M,0,T,10,a,49.72,17.63,30.34,0.62,0.64,0.73,0.31
M,0,T,10,b,49.82,17.27,30.97,0.49,0.72,0.69,0.03
M,0,T,10,c,49.83,16.04,32.15,0.48,0.76,0.69,0.04
F,1,C,11,a,41.27,15.66,41.35,0.47,0.41,0.8,0.03
F,1,C,11,b,37.04,14.36,46.79,0.49,0.46,0.86,0
F,1,C,11,c,38.72,16.46,43.59,0.33,0.33,0.55,0.01
F,1,C,12,a,41.9,16.54,39.93,0.45,0.36,0.8,0.02
F,1,C,12,b,41.97,15.65,40.57,0.47,0.54,0.77,0.02
F,1,C,12,c,47.03,18.21,33.44,0.41,0.38,0.5,0.04
F,1,C,13,a,44.56,18.98,34.88,0.47,0.49,0.62,0.01
F,1,C,13,b,45.41,17.58,35.42,0.46,0.41,0.71,0.01
F,1,C,13,c,43.32,16.95,38.37,0.35,0.34,0.66,0.01
F,1,C,14,c,47.26,18.39,33.09,0.33,0.32,0.6,0.02
F,1,C,14,d,46.83,18.86,33.02,0.33,0.32,0.63,0.01
F,1,C,14,e,47.15,18.56,33.04,0.31,0.29,0.62,0.03
F,1,C,15,a,47.61,18.76,31.78,0.46,0.67,0.67,0.04
F,1,C,15,b,47.7,20.16,30.92,0.35,0.36,0.48,0.03
F,1,C,15,c,47.58,20.42,31,0.27,0.29,0.43,0.02
F,1,T,16,a,39.87,14.83,43.68,0.36,0.31,0.9,0.06
F,1,T,16,b,38.91,14.79,44.79,0.36,0.45,0.66,0.04
F,1,T,16,c,41.59,18,39.27,0.28,0.26,0.53,0.06
F,1,T,17,a,42.9,17.44,38.4,0.24,0.34,0.63,0.05
F,1,T,17,b,42.24,16.59,39.69,0.27,0.4,0.61,0.2
F,1,T,17,c,39.44,16.33,43.05,0.22,0.27,0.6,0.08
F,1,T,18,a,46.38,18,33.7,0.56,0.5,0.85,0
F,1,T,18,b,41.93,17.04,39.59,0.35,0.47,0.61,0.01
F,1,T,18,c,39.7,16.35,42.27,0.48,0.44,0.74,0.02
F,1,T,19,a,48.19,17.75,32.39,0.42,0.5,0.73,0.02
F,1,T,19,b,46.77,19.56,32.69,0.28,0.34,0.36,0.02
F,1,T,19,c,46.79,19.24,32.91,0.28,0.33,0.44,0
F,1,T,20,a,46.86,19.16,32.82,0.26,0.38,0.51,0.01
F,1,T,20,b,46.86,19.16,32.82,0.26,0.38,0.51,0.01
F,1,T,20,c,46.94,17.5,34.2,0.31,0.45,0.57,0.04
